dense_1_accuracy,dense_1_loss,dense_5_loss,dense_5_mae,loss,val_dense_1_accuracy,val_dense_1_loss,val_dense_5_loss,val_dense_5_mae,val_loss,learning_rate
0.09519889950752258,2.515968084335327,0.32518088817596436,0.4217931926250458,2.8413033485412598,0.08888889104127884,2.573371410369873,0.1819264143705368,0.3495156764984131,2.755805015563965,9.999999747378752e-05
0.12091906368732452,2.421647071838379,0.13451474905014038,0.29614827036857605,2.556224822998047,0.08209876716136932,2.5967228412628174,0.11861742287874222,0.2873113453388214,2.7105891704559326,9.999999747378752e-05
0.17613168060779572,2.2626469135284424,0.11690301448106766,0.27655985951423645,2.3795242309570312,0.1697530895471573,2.3110594749450684,0.1498117297887802,0.3184504806995392,2.4577832221984863,9.999999747378752e-05
0.244650200009346,2.048185110092163,0.10419216752052307,0.2590327560901642,2.152451515197754,0.24382716417312622,2.0548458099365234,0.13389252126216888,0.3005380630493164,2.185616970062256,9.999999747378752e-05
0.31179699301719666,1.8286292552947998,0.09726094454526901,0.24821121990680695,1.9259709119796753,0.32901233434677124,1.8285558223724365,0.1119990274310112,0.27546510100364685,1.9339388608932495,9.999999747378752e-05
0.3949931263923645,1.6120702028274536,0.08880788087844849,0.23935280740261078,1.7009434700012207,0.3499999940395355,1.7194106578826904,0.10597190260887146,0.2708854377269745,1.8186198472976685,9.999999747378752e-05
0.473731130361557,1.3943469524383545,0.08740906417369843,0.23500175774097443,1.481867790222168,0.41913580894470215,1.545829176902771,0.09171749651432037,0.2553437650203705,1.6301920413970947,9.999999747378752e-05
0.5593964457511902,1.197364330291748,0.08004026114940643,0.22802284359931946,1.277675986289978,0.49259260296821594,1.382556676864624,0.09101574122905731,0.25446146726608276,1.4672446250915527,9.999999747378752e-05
0.6270233392715454,1.0192886590957642,0.07674497365951538,0.22194130718708038,1.096160888671875,0.5382716059684753,1.2589302062988281,0.08982124924659729,0.25394535064697266,1.3449186086654663,9.999999747378752e-05
0.6914266347885132,0.8668742775917053,0.07288210839033127,0.21674884855747223,0.9397876858711243,0.5555555820465088,1.2048979997634888,0.08998750150203705,0.25351476669311523,1.291377067565918,9.999999747378752e-05
0.7382029891014099,0.7511850595474243,0.06907635182142258,0.2105237990617752,0.8200822472572327,0.6030864119529724,1.1077786684036255,0.08496174216270447,0.24642644822597504,1.1933326721191406,9.999999747378752e-05
0.7793552875518799,0.6449775099754333,0.06668812781572342,0.20618392527103424,0.7115985155105591,0.6166666746139526,1.0216915607452393,0.08044512569904327,0.23920977115631104,1.100175380706787,9.999999747378752e-05
0.8152949213981628,0.5564466714859009,0.06341258436441422,0.19993726909160614,0.6198715567588806,0.6283950805664062,0.9794902205467224,0.08011693507432938,0.23875150084495544,1.0579835176467896,9.999999747378752e-05
0.8489025831222534,0.4728347659111023,0.06206963211297989,0.19603489339351654,0.5349782109260559,0.6716049313545227,0.889380156993866,0.07636997848749161,0.23331396281719208,0.9678056836128235,9.999999747378752e-05
0.8728395104408264,0.40549278259277344,0.0590626522898674,0.19070425629615784,0.46449169516563416,0.7067901492118835,0.8264449834823608,0.07814209908246994,0.2354496568441391,0.899239182472229,9.999999747378752e-05
0.8894375562667847,0.35675403475761414,0.05527229234576225,0.183778315782547,0.41201093792915344,0.7043209671974182,0.8000645041465759,0.07671782374382019,0.23158729076385498,0.8741141557693481,9.999999747378752e-05
0.9059670567512512,0.3066103458404541,0.05596970394253731,0.1847667098045349,0.36266380548477173,0.7222222089767456,0.7684364318847656,0.07078798860311508,0.22375281155109406,0.8346522450447083,9.999999747378752e-05
0.9213305711746216,0.26193174719810486,0.050926461815834045,0.17595815658569336,0.3128564953804016,0.7413580417633057,0.7313223481178284,0.07581005990505219,0.2308020293712616,0.8088322281837463,9.999999747378752e-05
0.9341563582420349,0.22931788861751556,0.048580367118120193,0.17118264734745026,0.2778913676738739,0.7277777791023254,0.7331857681274414,0.08041054755449295,0.23760822415351868,0.8152886033058167,9.999999747378752e-05
0.9441701173782349,0.19869346916675568,0.04749135673046112,0.16773226857185364,0.24619820713996887,0.7543209791183472,0.6709689497947693,0.07668375968933105,0.2325548529624939,0.7481053471565247,9.999999747378752e-05
0.9473251104354858,0.18428882956504822,0.045751940459012985,0.1657910794019699,0.23007313907146454,0.7185184955596924,0.7247483730316162,0.07654411345720291,0.23325838148593903,0.800128698348999,9.999999747378752e-05
0.9554184079170227,0.15809816122055054,0.04470056667923927,0.16229963302612305,0.202767014503479,0.740123450756073,0.7002549767494202,0.0792398527264595,0.23626580834388733,0.7784777283668518,9.999999747378752e-05
0.960013747215271,0.1444835513830185,0.042660120874643326,0.15891295671463013,0.18717792630195618,0.7654321193695068,0.6389211416244507,0.08060961216688156,0.23714503645896912,0.7188880443572998,9.999999747378752e-05
0.9651577472686768,0.12699033319950104,0.04105160012841225,0.1552598774433136,0.16805079579353333,0.7586419582366943,0.6270190477371216,0.07993924617767334,0.23594677448272705,0.7071802020072937,9.999999747378752e-05
0.9707133173942566,0.1133602112531662,0.039958398789167404,0.15291771292686462,0.1532469242811203,0.769753098487854,0.6290197372436523,0.08060844242572784,0.23743419349193573,0.7089670300483704,9.999999747378752e-05
0.9722222089767456,0.10097130388021469,0.03965801000595093,0.151969775557518,0.14067406952381134,0.7771604657173157,0.6271075010299683,0.07856356352567673,0.2342907339334488,0.703222930431366,9.999999747378752e-05
0.9743484258651733,0.09345652908086777,0.03728039935231209,0.1467963457107544,0.130790114402771,0.8024691343307495,0.5439538359642029,0.07769159227609634,0.23252949118614197,0.6228535771369934,9.999999747378752e-05
